Sample	Detritus	Detritus	Detritus	Larva	Larva	Larva
Sample_name	Sainokawara	Sainokawara	Sainokawara	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis
sample	Sainokawara_detritus_1	Sainokawara_detritus_2	Sainokawara_detritus_3	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis
Desulfotomaculales	0.01852618	0.019219824	0.03492204	0	0	0.002415692
AD3	0.001471061	0.001751237	0.002951158	0	0	0
Gemmatales	0.00068956	0	0	0	0	0
Xanthomonadales	0.003677654	0.003721378	0.000639418	0	0.000384362	0
Corynebacteriales	0.010665196	0.01142682	0.029757513	0.008643835	0.007522513	0.012948111
Acidithiobacillales	0.642302211	0.611050304	0.230239536	0.551371881	0.73901823	0.582954875
Erysipelotrichales	0	0	0	0	0.000164727	0
Bacillales	0	0	0	0.427214983	0.148363716	0.117112765
Tepidisphaerales	0.086884568	0.105161771	0.342629482	0	0	0
Bacteria;__;__;__	0.00206868	0.003940283	0.018543112	0	0	0
Acetobacterales	0.069369742	0.040584913	0.177118686	0	0	0.000483138
Gammaproteobacteria_Incertae_Sedis	0.006068129	0.002232827	0.002606857	0	0	0
IMCC26256	0.006068129	0.007048728	0.021395898	0.000392902	0.001702174	0
Thermoplasmatales	0.005332598	0.006041767	0.008410801	0	0	0
Syntrophobacterales	0.000321795	0	0.000688604	0	0	0
Isosphaerales	0	0	0	0	0	0
Obscuribacterales	0	0.000218905	0	0	0	0
Lactobacillales	0	0	0	0	0	0
Rickettsiales	0.000459707	0	0.00049186	0.003077729	0.000219635	0.002415692
Chlamydiales	0	0	0	0	0	0
Leptospirillales	0.016917207	0.037038659	0.003147902	0	0.000713815	0
Acidobacteriales	0.025283869	0.023379011	0.032413556	0	0	0
Enterobacterales	0	0	0	0	0	0
Pseudomonadales	0	0	0	0.00163709	0	0
Solirubrobacterales	0	0.008712403	0	0	0	0.002029182
Candidatus_Jorgensenbacteria	0	0	0.000639418	0	0	0
Sva0485	0.0589344	0.065890285	0.027544144	0.000589352	0	0
Desulfomonilales	0.002988094	0	0	0.000589352	0	0
Acidimicrobiales	0.004551096	0.004991025	0.002114997	0	0.005326159	0.006570683
Paracaedibacterales	0	0	0	0	0	0
Lachnospirales	0	0	0	0.006482876	0.095815946	0.271233936
Saccharimonadales	0	0.00048159	0	0	0	0
Alicyclobacillales	0.001517032	0.001707456	0.001721509	0	0	0.001835926
A10	0	0.001532332	0.005558015	0	0	0
Geobacterales	0	0	0.000688604	0	0	0
Mesoaciditogales	0.03429412	0.043080426	0.016280557	0	0	0
Babeliales	0	0	0	0	0.000768724	0
Holosporales	0	0	0	0	0	0
Diplorickettsiales	0	0	0	0	0	0
Desulfurellales	0	0	0.03846343	0	0	0
Acidiferrobacterales	0	0	0	0	0	0
Peptostreptococcales-Tissierellales	0.001287179	0	0.001032905	0	0	0
BSLdp215	0	0.000788057	0	0	0	0
uncultured	0.000321795	0	0	0	0	0
Chitinophagales	0	0	0	0	0	0
0319-6G20	0	0	0	0	0	0
