Sample	Egg	Egg	Egg	Larva	Larva	Larva
Sample_name	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis
sample	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis
Desulfotomaculales	0	0	0	0	0	0.002415692
AD3	0	0	0	0	0	0
Gemmatales	0.001746676	0	0.001990653	0	0	0
Xanthomonadales	0.122379986	0.094781851	0.106283538	0	0.000384362	0
Corynebacteriales	0.026312824	0.014569641	0.03098494	0.008643835	0.007522513	0.012948111
Acidithiobacillales	0.429006085	0.15622773	0.088281115	0.551371881	0.73901823	0.582954875
Erysipelotrichales	0	0	0	0	0.000164727	0
Bacillales	0.000338066	0	0	0.427214983	0.148363716	0.117112765
Tepidisphaerales	0.014311472	0.02209201	0.050025965	0	0	0
Bacteria;__;__;__	0	0	0	0	0	0
Acetobacterales	0.323416723	0.662443582	0.672927125	0	0	0.000483138
Gammaproteobacteria_Incertae_Sedis	0.016058147	0.009106026	0.016531071	0	0	0
IMCC26256	0.010592743	0.001979571	0.004500606	0.000392902	0.001702174	0
Thermoplasmatales	0	0	0	0	0	0
Syntrophobacterales	0	0	0	0	0	0
Isosphaerales	0.000507099	0	0.001038601	0	0	0
Obscuribacterales	0	0	0	0	0	0
Lactobacillales	0	0.000950194	0	0	0	0
Rickettsiales	0	0	0	0.003077729	0.000219635	0.002415692
Chlamydiales	0	0	0.000692401	0	0	0
Leptospirillales	0.016565247	0.002771399	0.010212913	0	0.000713815	0
Acidobacteriales	0.00360604	0.002613033	0.008308811	0	0	0
Enterobacterales	0.002479153	0.002217119	0	0	0	0
Pseudomonadales	0.00180302	0.000871011	0	0.00163709	0	0
Solirubrobacterales	0	0	0	0	0	0.002029182
Candidatus_Jorgensenbacteria	0	0	0	0	0	0
Sva0485	0	0	0	0.000589352	0	0
Desulfomonilales	0	0	0	0.000589352	0	0
Acidimicrobiales	0.013860717	0.008789294	0.008222261	0	0.005326159	0.006570683
Paracaedibacterales	0.000281722	0	0	0	0	0
Lachnospirales	0.000507099	0	0	0.006482876	0.095815946	0.271233936
Saccharimonadales	0.000845166	0	0	0	0	0
Alicyclobacillales	0.012564796	0.020587537	0	0	0	0.001835926
A10	0	0	0	0	0	0
Geobacterales	0	0	0	0	0	0
Mesoaciditogales	0	0	0	0	0	0
Babeliales	0	0	0	0	0.000768724	0
Holosporales	0	0	0	0	0	0
Diplorickettsiales	0.000338066	0	0	0	0	0
Desulfurellales	0	0	0	0	0	0
Acidiferrobacterales	0	0	0	0	0	0
Peptostreptococcales-Tissierellales	0	0	0	0	0	0
BSLdp215	0	0	0	0	0	0
uncultured	0	0	0	0	0	0
Chitinophagales	0.000507099	0	0	0	0	0
0319-6G20	0.001972053	0	0	0	0	0
