Sample	Env_Water	Env_Water	Env_Water	Larva	Larva	Larva
Sample_name	Sainokawara	Sainokawara	Sainokawara	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis
sample	Sainokawara_water_1	Sainokawara_water_2	Sainokawara_water_3	P_kusatsuensis	P_kusatsuensis	P_kusatsuensis
Desulfotomaculales	0.023613707	0.019796412	0.011092356	0	0	0.002415692
AD3	0.000249221	0	0	0	0	0
Gemmatales	0.000872274	0.002024633	0.001205691	0	0	0
Xanthomonadales	0.002305296	0.010460604	0.00659111	0	0.000384362	0
Corynebacteriales	0.026417445	0.019515213	0.007475283	0.008643835	0.007522513	0.012948111
Acidithiobacillales	0.53271028	0.550531466	0.597379632	0.551371881	0.73901823	0.582954875
Erysipelotrichales	0	0	0	0	0.000164727	0
Bacillales	0	0	0	0.427214983	0.148363716	0.117112765
Tepidisphaerales	0.118629283	0.09605759	0.08182622	0	0	0
Bacteria;__;__;__	0.00317757	0.002755751	0.002572141	0	0	0
Acetobacterales	0.064361371	0.068162646	0.03962704	0	0	0.000483138
Gammaproteobacteria_Incertae_Sedis	0.00317757	0.002249592	0.001687967	0	0	0
IMCC26256	0.006853583	0.011416681	0.004260108	0.000392902	0.001702174	0
Thermoplasmatales	0	0.001012317	0	0	0	0
Syntrophobacterales	0	0.000337439	0	0	0	0
Isosphaerales	0	0	0	0	0	0
Obscuribacterales	0.000809969	0.001237276	0	0	0	0
Lactobacillales	0	0	0	0	0	0
Rickettsiales	0.000623053	0.001293516	0.000723415	0.003077729	0.000219635	0.002415692
Chlamydiales	0.000996885	0.001912153	0.001205691	0	0	0
Leptospirillales	0.056074766	0.130645071	0.052889639	0	0.000713815	0
Acidobacteriales	0.024922118	0.016759462	0.006671489	0	0	0
Enterobacterales	0	0	0	0	0	0
Pseudomonadales	0	0	0	0.00163709	0	0
Solirubrobacterales	0.002242991	0.012653956	0.007394904	0	0	0.002029182
Candidatus_Jorgensenbacteria	0	0	0	0	0	0
Sva0485	0.087040498	0.002587031	0.157543606	0.000589352	0	0
Desulfomonilales	0	0.000731117	0	0.000589352	0	0
Acidimicrobiales	0.01046729	0.00866093	0.008520215	0	0.005326159	0.006570683
Paracaedibacterales	0	0.000506158	0	0	0	0
Lachnospirales	0	0	0	0.006482876	0.095815946	0.271233936
Saccharimonadales	0.001744548	0.003655587	0.000643035	0	0	0
Alicyclobacillales	0.003115265	0.007929813	0.003858211	0	0	0.001835926
A10	0.001744548	0.002418312	0.000964553	0	0	0
Geobacterales	0	0.001687194	0	0	0	0
Mesoaciditogales	0.010654206	0	0.004903143	0	0	0
Babeliales	0	0	0.000964553	0	0.000768724	0
Holosporales	0.000436137	0	0	0	0	0
Diplorickettsiales	0	0	0	0	0	0
Desulfurellales	0.014267913	0.020808728	0	0	0	0
Acidiferrobacterales	0	0.000393679	0	0	0	0
Peptostreptococcales-Tissierellales	0.001121495	0	0	0	0	0
BSLdp215	0.001370717	0.001799674	0	0	0	0
uncultured	0	0	0	0	0	0
Chitinophagales	0	0	0	0	0	0
0319-6G20	0	0	0	0	0	0
