Sample	rearing	rearing	rearing	wild	wild	wild
Sample_name	rearing	rearing	rearing	wild	wild	wild
Sample	rearing_1	rearing_2	rearing_3	wild_1	wild_2	wild_3
Oikeobacillus_sp	0.282	0.270	0.160	0.220	0.150	0.060
Acidithiobacillus_ferrooxidans	0.000	0.000	0.000	0.050	0.085	0.000
Chamaesiphon_sp	0.000	0.000	0.000	0.089	0.000	0.000
Corynebacterium_sp	0.123	0.000	0.070	0.388	0.194	0.377
Acidithiobacillus_sp	0.000	0.000	0.000	0.253	0.486	0.248
Anaeropeptidivorans_sp	0.000	0.000	0.000	0.000	0.084	0.147
Ehrlichia_sp	0.000	0.000	0.000	0.000	0.000	0.167
Legionella_sp	0.070	0.000	0.000	0.000	0.000	0.000
Mycobacterium_cookii	0.153	0.239	0.233	0.000	0.000	0.000
Aciditerrimonas_sp	0.075	0.000	0.000	0.000	0.000	0.000
Mycobacterium_sp	0.140	0.249	0.173	0.000	0.000	0.000
Mycolicibacterium_sp	0.085	0.000	0.065	0.000	0.000	0.000
Robertmurraya_sp	0.072	0.000	0.000	0.000	0.000	0.000
Neochroococcus_sp	0.000	0.054	0.054	0.000	0.000	0.000
Domibacilluss_sp	0.000	0.000	0.054	0.000	0.000	0.000
Metallibacterium_sp	0.000	0.000	0.103	0.000	0.000	0.000
Sphingomonas_sp	0.000	0.192	0.000	0.000	0.000	0.000
Bradyrhizobium_japonicum	0.000	0.000	0.089	0.000	0.000	0.000
