SampleID	SampleName	Group
P_kusatsuensis_egg_mass_1	P_kusatsuensis_egg_mass_1	P_kusatsuensis_egg_mass
P_kusatsuensis_egg_mass_2	P_kusatsuensis_egg_mass_2	P_kusatsuensis_egg_mass
P_kusatsuensis_egg_mass_3	P_kusatsuensis_egg_mass_3	P_kusatsuensis_egg_mass
P_kusatsuensis_larva_1	P_kusatsuensis_larva_1	P_kusatsuensis_larva
P_kusatsuensis_larva_2	P_kusatsuensis_larva_2	P_kusatsuensis_larva
P_kusatsuensis_larva_3	P_kusatsuensis_larva_3	P_kusatsuensis_larva
Sainokawara_detritus_1	Sainokawara_detritus_1	Sainokawara_detritus
Sainokawara_detritus_2	Sainokawara_detritus_2	Sainokawara_detritus
Sainokawara_detritus_3	Sainokawara_detritus_3	Sainokawara_detritus
Sainokawara_water_1	Sainokawara_water_1	Sainokawara_water
Sainokawara_water_2	Sainokawara_water_2	Sainokawara_water
Sainokawara_water_3	Sainokawara_water_3	Sainokawara_water
